,epoch,looses,mean,std
0,1,"[39.73625183 42.12652206 39.95701981 41.87729645 41.40304565 39.29149628
 41.64120483 40.03019714 44.39685822 44.04072189 43.17502213 39.22119141
 40.00172424 40.19631577 40.83512115 34.86336899 41.92901993 38.98763657
 34.32368088 42.62687683 31.78211594 31.71457672 33.31244278 32.7657547
 36.5799942  32.45134354 40.2404213  33.45050812 29.41083145 29.3713398
 35.9492569  27.28203201 28.58164215 30.12880135 30.01041794 30.34584808
 26.72315788 29.96856308 31.54133034 26.38652039 27.16645432 29.17663193
 29.88805008 27.45716858 27.88782883 27.33450699 26.6625576  24.47658157
 25.51980591 25.76836967 25.50289536 24.15403366 23.51207352 24.25617218
 25.20399094 24.64492035 21.87460709 24.51656723 23.56097794 25.48419571
 22.56580925 24.28983688 22.03048325 28.98037338 23.06835556 22.47691154
 20.40628815 23.77192307 21.62265396 21.40060234 21.29248619 25.42277145
 21.12448883 20.77288055 20.46295547 20.93064117 20.13375664 20.43542099
 19.22102165 19.5688076  20.08750153 19.97746277 19.73661423 19.5016861
 18.72706032 18.71059799 18.51648712 18.27339745 17.90220642 19.44417572
 18.76805878 18.24669647 17.83802795 18.68766022 18.5500145  20.21244812
 17.9983654  18.72819519 17.04908943 19.14525414 17.51319504 18.05348396
 16.69483185 18.10969353 17.66731262 19.12434387 18.21961212 16.99468994
 16.54533958 16.26275253 16.23722076 16.06331635 16.56248283 15.06743145
 15.36485672 16.41211319 16.62890625 15.99137115 15.5918045  16.06392288
 16.7560997  14.71741676 15.58660126 14.94880486 14.85369873 15.76036263
 15.4409771  16.1258049  15.06001282 14.75282955 15.97588921 14.38648224
 14.70275307 14.38873577 14.52060318 15.59174919 14.20588112 16.25789642
 14.91330147 14.67683983 15.44248962 15.65676975 14.71548843 14.63928986
 14.01280403 13.72834396 14.41644478 14.947052   14.54356384 13.68750381
 17.17816544 13.74847507 13.812994   13.25812054 14.40425587 13.13430595
 14.24754143]",23.268473613034388,8.704420797779722
1,2,"[13.87753296 13.9024992  13.16684341 13.08764076 13.45161438 13.6243782
 13.89444351 13.25205708 13.14912319 12.87363815 13.61853695 12.95673943
 13.51955986 12.06746674 14.09593773 12.68496704 13.20933819 13.31758785
 12.83260727 12.98324108 12.68355751 11.56469917 12.70441818 13.40793991
 13.35202217 12.29289246 12.43304825 13.81019306 12.27816772 13.20278168
 12.81264687 12.87698841 12.9587574  12.9308424  12.76916981 14.39711189
 12.73324871 12.12024879 11.88046265 12.59450912 12.18691921 12.92121887
 11.95167065 11.84662819 12.67514992 13.07915688 12.84321785 11.68213844
 12.27339935 11.76830673 12.89435863 12.45751572 12.35792351 12.06114292
 12.36376762 11.81078148 11.70345497 12.64126396 11.53783226 12.59210873
 11.73928452 11.64163399 11.28657436 11.61916351 11.1841116  11.96019173
 11.64845848 12.11218929 11.26930904 10.96230984 12.24135685 12.37459373
 11.67360306 11.28960991 11.42713737 11.51043987 11.02667618 11.49934292
 11.32700634 11.14429092 10.87738132 11.68456841 13.26095772 10.59882736
 10.74223518 11.19950485 11.00892639 10.79597569 10.89510727 10.46725464
 10.85587311 10.51955605 10.38627052 11.30420971 11.21836853 10.85166359
 11.29542065 12.5415554  10.69318962 10.95487404 10.7597847  11.74882412
 10.56896019 10.97008801 10.25567818 10.40400887 10.33110619 10.27278614
 11.42030334 10.81346512 10.1811142   9.77846718 10.63663292 10.68882561
 11.65471268 10.89398384 11.95327759 10.67380047  9.93994141 11.48936462
 10.25669765 10.67568779 10.24567986 10.16522408  9.90617466  9.48939419
  9.64838696 10.08516884 10.87988472  9.90904808 10.52736378 10.71541214
  9.98545647 11.19600105 10.16371822  9.88554382 10.05744743 10.39667702
 10.02006531 10.30847549  9.64056969  9.51164436 10.1270113  10.84594154
  9.16423512  9.55721855 10.06925392  9.80458164  9.69402027  9.51935196
  9.42666817 10.01161194  9.72099686 10.10359859  9.51095867 10.40780449
  9.49753952]",11.507465338251393,1.2523825876357726
2,3,"[ 9.98834991 11.04705238  9.60398865  9.7669735   8.921978   11.75005913
 11.5387516   9.786376    9.49762917  9.08675385 10.1938591  10.74558163
 11.08813095  9.03702259  9.67407894  9.69869137 10.53401566  8.76657009
  9.11178017 10.08359337  9.75968361  9.33537579  9.1853466   9.38575363
 10.24741173  9.5408392  10.16436577  8.56561852 10.01985359  9.08703518
 12.00464439  9.28090668  9.84036636  9.53917789  8.57860088  9.06036758
  9.41025162 10.23495388  9.49253845  8.26772308  8.29690552  8.97877407
  9.09482193  8.45285225  9.20410633  9.24078941  8.92499733  8.5683279
  8.85215282  9.80160046  9.15842247  8.9079752   8.00803185  8.45148087
  9.8528595  10.42164707  9.92190742 10.17204666  8.49378109  8.07691765
 10.23577595  8.30678082  8.22175789  9.70891953  8.7921381   9.17427826
  9.06340408  9.46605301 10.47043991  8.86755562  9.07652569  9.9037571
  8.9331131   8.68853092  7.50069523  8.07328415  8.80789185  8.16239929
  8.75871754  8.45992756  8.23932838  8.18831635  7.23747396  8.64643288
  8.60734558  9.05735302  7.72439957  8.98649693  7.71456337  8.33144951
  8.28909588 11.92438316  8.78278542  8.2640934   7.99105787  8.13250446
  8.89197922  8.72573757  9.24794579  7.79330921  8.13763428  8.79972363
  9.45473862  9.7302227   9.45912647  8.24265671  9.17465401  8.47562695
  9.28624725  8.18022728  7.43217754  8.89294434  7.74585724  8.68810654
  8.93115902  8.44606495  8.10499573  8.37124062  8.54712963  7.96868515
  7.59497595  9.03142262  7.56594181  7.95578289  8.66121197  9.07521439
  8.63434792  8.44669151  8.03625679  8.26009083  8.59704113  9.05009937
  8.28629875  9.71491623  7.49163771  8.1556263   7.86177254  7.6376915
  8.55646801  7.98672342  9.31062889  8.81614971  7.67404127  7.85735273
  9.58932304  7.40949726  8.56428146  8.51134109  7.54708385  7.72327471
  7.43546009  8.3603754   7.9672842   7.00866032  8.19298363  8.05900955
  8.66517353]",8.908355390949614,0.9380224687218418
3,4,"[ 8.6672039   8.97443581  8.48324871  8.01225567  7.71137571  7.23939228
  8.24190998  6.72885799  7.22506905  6.22753429  7.10188246  6.91608334
  8.39744663  7.55890179  7.60659599  8.91239738  7.77658749  7.49418592
  8.03481007  9.2134161   7.79268169  8.29911995  6.76342916  6.96371698
  7.14930058  7.28781033  7.66587543  6.45551634  7.24842882  8.07333755
  6.75727463  8.7412672   6.99895096  7.38102341  7.19902134  8.08852291
  7.39774513  7.70913792  7.38842916  8.2226429   7.12723684  8.75445747
  7.99609709  7.87402916  7.64949894  7.56471062  6.26261425  7.27571678
  7.35802126  8.02550888  7.85999632  6.44042969  7.28642368  7.72962379
  8.32333946  8.22979069  6.3484993   6.31036663  6.25349426  7.06210852
  6.760993    8.06594658  6.90801859  6.3284831   6.60063124  6.63207054
  8.07450104  7.09154415  7.72229433  7.31167889  6.16051769  7.28399801
  7.58406115  6.93771172 10.54161739  6.84425592  6.93117905  6.63967466
  8.29975319  6.67294121  7.39211178  7.29787588  7.24989843  7.42468071
  8.0943346   8.21201801  6.26432943  7.70395374  6.16193533  7.06838465
  7.41518641  6.21113682  6.99037266  8.47766495  7.74591398  6.64012957
  6.64956093  6.11640596  7.55634546  7.68503857  8.08983612  8.32010651
  6.8011179   6.76969624  9.04095078  8.04941559  6.01756001  6.91884708
  6.49256706  6.99930668  8.53755569  7.62372828  6.79267502 10.47796917
  6.90541553  7.22443247  6.54951668  7.52517843  6.15390301  7.22269773
  7.49891472  6.82333374  8.10341835  7.13793993  7.21975994  6.14978027
  7.83397913  6.71071053  7.68671799  6.72469234  6.53689003  6.5865221
  7.87434196  5.84025717  7.20909834  6.45462132  5.13866138  6.42546463
  7.34743118  6.86086369  5.589118    7.12587976  6.77920389  7.78482199
  7.74558735  6.04650211  7.39090729  8.31277275  6.51376772  5.87966299
  5.82158518  5.91046238  6.94776726  6.53048468  7.61342907  7.58043528
  6.65834045]",7.302512985885523,0.8495112173066447
4,5,"[5.38912964 6.51746893 7.44366693 7.08279133 7.06066513 6.20304251
 5.90751219 5.74848223 7.53171349 6.75896931 6.29066086 6.57745934
 7.34850645 7.46927738 5.31674242 6.85924053 5.99738359 6.31983137
 7.08137894 6.91122484 5.58578777 5.86175299 5.98295784 6.18546009
 5.61488962 7.39477968 6.62701321 6.72969484 6.98229361 7.69427919
 6.35855293 6.10986805 7.92554331 7.64181376 6.90275097 6.5183115
 5.75941944 5.65351295 6.72279215 6.12872648 7.16884899 5.79145908
 6.63077164 6.54582214 6.40421295 5.90512228 7.52535057 5.53300762
 7.51278019 6.93156719 6.03895903 6.44810343 5.83304167 8.68851471
 6.44296837 6.55967903 5.92712641 5.05941868 5.75562572 5.22478724
 6.85574818 7.96668959 6.72853661 5.95894814 5.66158485 7.05784607
 6.33206177 5.75949621 6.45618629 6.50674629 6.00945807 6.04584265
 8.27959061 6.75653887 5.92991829 5.03235626 7.30830336 6.58404636
 4.7804966  6.26629353 8.23299217 6.24778938 7.31299877 6.17706013
 6.50509071 5.74422932 5.82896996 6.27719545 8.32002926 6.38914967
 5.93897343 8.01275349 6.79674196 5.27154303 5.58001947 5.34573936
 5.17944908 6.01298523 5.9325552  5.04566336 7.04239368 5.59186935
 7.13662243 4.94434786 5.0552969  6.12142372 4.67057467 5.32551289
 7.48145056 3.95111752 7.65376663 5.52704716 5.61916637 6.22585344
 5.808074   7.45316315 6.92290974 5.72244358 6.87311125 5.40330887
 5.63903236 6.64457512 4.76474094 5.7829113  6.31321859 5.60474491
 6.19716072 6.35700655 6.5737505  6.35250568 5.79576445 6.76274014
 5.0879035  4.60562706 7.47362375 6.84640121 6.52128029 8.07236862
 7.11479378 7.19647026 5.18489647 5.39517784 6.03694439 6.07829428
 6.25003052 5.61313534 7.03217745 5.37841558 5.63493681 6.11293364
 5.99756527 5.75326538 6.78092384 6.88813782 5.14459515 7.37832832
 6.50075912]",6.330877212961768,0.8492634657252189
5,6,"[6.84349966 7.93853855 5.53072453 5.35869169 5.18136835 6.3515749
 5.78125954 6.18147659 6.47410345 5.77881718 5.27240276 5.7438817
 6.05476952 4.95905972 6.53008938 5.87001181 4.9958477  5.22245598
 6.42854786 6.30892944 5.13263845 8.75130081 5.88999939 8.15107346
 6.46237469 5.38802433 5.85427284 5.40459394 6.54586124 7.06974363
 6.65610313 4.94072294 7.28420925 5.51040936 5.03923941 5.16483068
 6.28020382 6.3959918  5.47013092 5.46218824 5.46448231 5.75532389
 6.40483093 6.76448822 5.99147749 5.58852339 6.42803288 5.92552471
 4.69064522 6.19443655 5.15084982 5.01062012 4.52142048 5.54873991
 6.84831476 4.99828815 4.01274252 6.42710781 5.60709381 6.33426905
 6.22357607 5.81070518 6.09744978 5.51688194 4.95344305 6.19881725
 4.46825695 5.15965271 5.92871141 5.52006769 6.64428091 5.51602221
 7.07879162 5.17889977 6.39440346 5.36452198 4.81475258 4.77452993
 5.39982414 6.01784897 6.82944441 5.32734919 6.89599705 6.12277746
 7.9952364  6.32356548 5.00764179 6.71518993 6.77665186 5.51525879
 4.96265411 5.24489927 7.44997215 6.29962063 5.53627968 6.54982471
 5.90750027 5.2529192  5.85167503 6.27483845 5.63549376 5.9431324
 5.6524291  5.7954545  5.03948593 5.20923519 4.67757797 6.92375851
 4.68184948 6.58977413 5.05839252 6.20553493 5.66147232 5.68505287
 5.97008991 7.19804192 4.94859934 7.90216494 5.40786457 6.64880323
 6.32967329 3.89764428 4.88247824 6.65198851 5.82570553 5.98772192
 5.54983234 5.35212994 4.59415722 7.34046555 5.54852438 5.43056583
 5.26778698 4.02729177 5.67154598 6.52962017 5.86905432 5.05121517
 6.03495741 6.18715858 5.1341157  6.54562092 4.37766647 5.83555222
 4.02282286 3.65080023 4.7073369  5.69958973 4.24875641 8.216856
 5.01385403 5.34011078 5.80139256 5.79920626 6.1546979  4.41537619
 5.20872402]",5.797860587478444,0.881083412022224
6,7,"[4.99092054 6.24440813 5.91210842 4.1740303  5.60902119 7.81923103
 6.27223206 4.7971406  5.85494328 6.28022861 5.02070045 4.42419243
 4.75949097 4.56171799 3.42651367 6.48240805 4.80542517 5.36993885
 5.55179262 6.11560535 5.34181499 6.21307993 4.49067926 5.66865158
 5.81727695 4.99218702 5.27050924 5.18239784 4.88336945 5.10320854
 5.60780716 5.24589348 5.3883028  4.56181574 4.25723362 6.02100372
 5.69500923 3.43010473 5.41000271 6.32651043 7.65067673 4.76583147
 5.31113434 4.739048   4.24136114 5.55501032 5.17451572 5.64657402
 6.06562805 5.16381359 4.14076996 6.03224707 4.99838638 5.21105289
 6.04693127 6.99356079 5.88238096 5.11182213 5.00771999 4.12419319
 3.86559224 5.10464287 3.48011518 5.53052521 5.35694122 5.52304983
 5.12872791 5.79098511 5.22773552 5.13577175 5.66972828 3.83431315
 4.49996376 4.87012959 4.89290428 5.91154099 8.18779755 5.0506916
 4.04627323 4.42605114 6.62138414 5.85864067 3.49786806 4.99154949
 5.65195465 4.72981405 5.4058094  5.10980415 4.70607758 4.82006311
 4.15942717 5.78437471 5.92001867 5.01340628 4.27203131 4.7762866
 5.78951836 8.52682877 4.34028339 5.7365737  5.01928186 5.28943443
 6.23940229 6.35713577 3.96935797 3.23642731 7.45853615 6.57697582
 5.81162262 4.35755444 4.26177502 4.7975564  4.19876862 4.01618004
 5.67421818 4.79453087 6.11489391 5.92043686 4.27976036 5.49777079
 4.53369522 4.80666161 5.0944581  4.79405499 4.3271265  6.31028986
 6.36955357 5.00842476 4.46034813 4.76128006 3.86271477 6.11312723
 4.9523344  5.95393085 5.82935429 4.75794125 5.36957932 5.37473011
 5.35704708 5.21154499 6.9874773  4.36218929 4.5384922  3.89378834
 4.45711517 5.87132168 4.75915337 4.36721802 5.05206442 4.4854517
 5.38420486 5.06710815 4.94043064 4.33899498 5.0747571  6.04553127
 3.96128631]",5.217790843574864,0.9046734239723566
7,8,"[3.59157586 4.19374561 3.98793197 5.96044111 5.04482889 4.51540613
 4.95890808 4.80471849 4.56360149 5.37349319 7.23541451 4.34001923
 5.71428394 4.75842094 5.5337534  4.97624302 3.87837172 5.13008499
 6.58196974 4.50970078 5.13556004 6.72479153 4.43637562 3.73166132
 4.53798389 4.82574654 5.02703762 4.06227732 5.50786161 4.99968719
 4.48196697 4.7913928  4.88816261 6.74664116 6.16947937 4.79301357
 4.77484846 4.07849312 5.80211163 5.56460857 5.53003883 3.46875906
 6.54776669 5.40694761 5.06915712 4.36060619 4.024405   4.44376707
 3.99044323 4.04186726 6.27023077 5.51274776 4.6478014  4.086514
 4.52811575 5.47399807 5.90322781 6.01437473 3.50319791 5.61311245
 5.29702759 3.91877055 6.10796642 6.07338858 5.19854546 5.94349384
 5.23629475 6.75030851 3.86025286 4.09673691 3.46337557 4.44961262
 5.30269718 5.62886524 4.98398829 4.500103   3.56874323 5.38377094
 5.84918022 6.06460857 4.56204987 4.83215141 4.03012276 4.85035706
 4.45216227 5.16401815 4.42403984 3.202384   4.48628712 4.38339281
 2.75986814 4.46880293 6.72288561 4.74678421 6.83184958 4.03321552
 4.97907639 5.84143353 4.0217762  4.51390839 4.05789423 5.7962389
 6.0875988  5.45075035 5.19316483 3.51899004 8.37594318 4.40642262
 4.83689117 5.19047594 5.09759426 3.83035827 6.11131239 5.51250601
 4.7500658  4.56211519 4.67119265 4.56405354 6.05100346 5.88205719
 4.94397736 5.31717396 4.42546368 5.26558971 6.45131874 5.392838
 4.91186094 4.16685295 3.70327997 4.43331385 4.1908102  3.989609
 4.89414787 2.73865771 4.88431931 3.72441792 4.39094543 5.10292912
 4.75413799 5.05860138 4.68591595 4.74313927 4.81529331 4.3386178
 5.39084911 4.21608448 4.30697393 5.37448978 3.88411617 5.51878357
 6.79528904 4.94179344 4.73483944 4.46868086 8.68052292 3.95536947
 3.36632848]",4.936674839372088,0.9540018118262816
8,9,"[5.17394924 3.9359529  4.42444992 3.29622388 4.46788788 5.230371
 4.35143423 4.70090675 3.13304901 4.09756327 4.123384   3.58428335
 5.79569054 3.98132348 6.62495232 4.30723715 5.43380785 5.17438745
 6.00340509 3.77860188 4.25884628 4.67781734 4.77607679 2.98736858
 4.53149557 4.03517628 4.35375786 4.11517906 3.70292521 2.65433025
 3.85080743 3.77135134 4.01893139 4.66802454 4.75713253 4.31122637
 5.68203545 4.77990389 5.02326584 4.67142963 4.94475555 4.23884058
 5.06766129 5.89321136 8.18872261 4.883986   5.17495251 3.68062782
 3.04089212 3.70030379 4.04983711 5.58751869 5.48044872 4.35160828
 4.41499138 5.21705818 9.45278168 4.97078514 5.28168106 4.61201334
 4.87155724 3.87649107 3.93599033 5.1309576  5.24831295 2.66894889
 5.47100592 3.44387794 5.33068371 6.43952942 4.26575518 3.72963452
 4.21355534 4.17079449 5.25572538 3.4078598  5.33211899 5.1684227
 4.83438683 4.05080128 5.47959137 3.8858695  4.47413254 4.54707861
 6.03854561 4.02678776 4.3842802  5.00206661 3.60042644 3.70221138
 5.87576675 4.27585793 6.2907114  5.69664621 5.17720509 4.92787981
 4.26715469 4.30345345 4.07931805 4.33956003 4.63185883 3.20948267
 3.62675953 2.92709327 2.72052145 3.67771292 4.85749722 3.18074179
 4.66817951 6.26339579 4.55988693 5.95992565 3.66946054 5.05331182
 5.2141161  6.7399826  3.37798071 6.28650951 3.24754333 3.40411997
 3.29385686 5.03196907 3.46149969 3.89105988 4.99507141 3.89532328
 6.022192   7.23136997 5.08329773 5.07841301 4.59586763 3.96984816
 4.10996056 3.90738726 2.63477135 3.99374485 4.23708439 4.14703131
 4.11036539 4.00990152 4.26185226 3.71071267 4.86153412 5.4189167
 4.69680595 5.07615137 4.73125935 5.48806095 3.56588197 4.03539276
 4.69238472 4.61779404 4.98607016 4.25882912 4.58488369 5.70154858
 4.22616577]",4.577005813076238,1.0026690262748297
9,10,"[5.58811951 3.61873698 4.4925499  3.99517488 3.8205905  5.64792347
 4.82219648 4.60872269 4.5734024  3.27688074 3.88647318 3.17498994
 5.29064703 4.13642693 4.72203493 5.34104538 3.76192284 4.20969772
 5.03477478 4.51849651 5.14219475 5.581357   5.10738134 3.84681797
 4.47738552 4.54097271 4.01920509 3.574404   4.58748913 4.40054989
 3.60584641 3.72953463 5.02473974 4.53173018 3.90304303 3.93951893
 4.24178314 6.74407291 3.418715   4.45318842 3.36894846 6.30097103
 4.507792   3.39624143 5.13821363 4.43760157 4.73522282 4.71925926
 5.43596649 3.69550085 4.75619602 4.34667969 4.57792759 4.63568115
 3.62422371 5.06567574 6.47139502 4.35647869 2.97903085 4.15042782
 4.73495579 4.66591454 4.78286076 3.26328802 3.89409351 4.04835129
 4.91413307 3.92386389 3.18277025 3.59880447 5.30324078 5.09203243
 5.25536823 4.65876579 3.73791337 3.32342029 3.14837241 3.28067231
 3.98177862 5.98895502 3.73854971 3.85994959 4.13417196 3.35010195
 3.96402597 2.81567574 4.19950104 4.12609339 4.81545067 4.75086832
 3.10007715 4.4036274  5.03579426 4.77395487 4.15625477 4.95979977
 3.78868246 3.31440949 6.80617666 3.46233058 4.12651825 2.95074129
 5.87600756 3.80309939 3.65456629 2.84009027 4.91633177 4.38035822
 3.07303333 3.09437656 4.73117542 4.32587671 4.02827835 3.69003463
 4.07214117 4.8557744  5.31836128 3.92824435 4.40836954 4.04625463
 4.86082935 2.79757619 2.73956513 2.58768606 3.17911315 3.66019797
 3.66756868 5.02276468 5.08244991 4.84469938 5.93106937 3.64305973
 5.3476553  3.18891954 3.8035779  3.72600174 3.91788292 5.75124788
 5.45919275 3.82204843 7.14219904 3.61824584 2.41345119 4.72337437
 4.2377305  3.40047956 4.09420967 3.97779369 4.43461704 4.29125977
 6.12210274 8.64150429 3.81532335 3.58487225 3.36362362 3.00713491
 4.3598423 ]",4.3108644880306946,0.9458263672340476
